category,feature,internal_or_external,why_used,how_it_helps,literature_backup
Returns/Momentum,log_return,Internal,Raw day-over-day ASPI log return; base signal every lag/ratio below derives from.,Captures the market's most recent directional move going into the event.,"Standard event-study return definition (continuously compounded return); no single external citation, foundational finance convention."
Returns/Momentum,lag_return_t-1,Internal,"1-day-lagged return, strictly pre-event (shift applied before any rolling calc).",Short-horizon momentum/reversal signal available at prediction time.,Standard autoregressive lag feature in return-prediction literature; no specific external citation used.
Returns/Momentum,lag_return_t-2,Internal,2-day-lagged return.,Extends short-horizon momentum/reversal context by one more day.,Same convention as lag_return_t-1.
Returns/Momentum,lag_return_t-3,Internal,3-day-lagged return.,Extends short-horizon momentum/reversal context.,Same convention as lag_return_t-1.
Returns/Momentum,lag_return_t-5,Internal,5-day-lagged return.,Captures whether the pre-event week was trending up or down.,Same convention as lag_return_t-1.
Returns/Momentum,price_to_sma_5,Internal,Price relative to 5-day simple moving average (stationary; raw SMA level is trending across the 2000-2026 sample and would break chronological folds).,Momentum/deviation-from-trend signal without the non-stationarity of a raw price level.,"Standard technical-momentum feature (price-to-MA ratio); no external citation, engineering fix for stationarity, documented in feature_eng.py."
Returns/Momentum,price_to_ema_5,Internal,"Price relative to 5-day EMA (same stationarity fix, more weight on recent days).",Momentum signal that reacts faster to the most recent few days than the SMA version.,Same rationale as price_to_sma_5.
Returns/Momentum,price_to_sma_10,Internal,Price relative to 10-day SMA.,Medium-horizon momentum/deviation-from-trend signal.,Same rationale as price_to_sma_5.
Returns/Momentum,price_to_ema_10,Internal,Price relative to 10-day EMA.,"Medium-horizon momentum signal, EMA-weighted.",Same rationale as price_to_sma_5.
Returns/Momentum,price_to_sma_20,Internal,Price relative to 20-day SMA.,Longer-horizon trend-deviation signal (roughly one trading month).,Same rationale as price_to_sma_5.
Returns/Momentum,price_to_ema_20,Internal,Price relative to 20-day EMA.,"Longer-horizon trend signal, EMA-weighted.",Same rationale as price_to_sma_5.
Volatility,rolling_std_5,Internal,"5-day realized (backward-looking) return volatility, shift(1)-guarded.",Short-horizon market-calm/turbulence proxy going into the event.,Standard realized-volatility feature; no specific external citation.
Volatility,rolling_std_10,Internal,10-day realized volatility.,Medium-horizon turbulence proxy.,Same rationale as rolling_std_5.
Volatility,rolling_std_20,Internal,20-day realized volatility.,Longer-horizon turbulence proxy (~1 trading month).,Same rationale as rolling_std_5.
Volatility,rolling_std_30,Internal,30-day realized volatility; mirrors the 30-day baseline window used to build Y2 (abnormal volume).,'Panic proxy' -- distinguishes an already-jittery pre-event market from a calm one.,Matches the target's own 30-day baseline construction; no specific external citation.
Volatility,squared_return,Internal,"Squared same-day log return; a cheap, well-known realized-variance proxy.",Nonlinear volatility signal complementary to the rolling-std features.,Standard ARCH-family proxy for instantaneous variance; foundational to Engle (1982) ARCH literature.
Volatility,garch_cond_vol,Internal,"One-step-ahead GARCH(1,1) conditional-volatility forecast (annual-refit, causal by construction). Added this session as a candidate feature for Y1.","A genuinely different signal from realized rolling_std: a forward-looking forecast that weights recent shocks more and mean-reverts, rather than a backward-looking average.","Davidescu et al. (2025), 'Evaluating Sectoral Vulnerability to Natural Disasters in the US Stock Market... DCC-GARCH Models'; 'GARCH-Informed Neural Networks for Volatility Prediction in Financial Markets' (ACM, 2024). MEASURED RESULT: null -- never selected by the per-fold feature selector in any fold/target this session (docs/audit.md)."
Volume,vol_ratio_1_30,Internal,Day-0 trading volume vs its own 30-day pre-event baseline.,"Direct 'is trading unusually heavy today' signal -- close cousin of the Y2 target's own construction, used as a feature only, never leaking the target's own value.",Standard abnormal-volume convention in event-study literature; no specific external citation.
Volume,vol_ratio_5_30,Internal,5-day average volume vs 30-day baseline.,"Smooths day-0 noise, captures a sustained (not one-day) volume shift.",Same convention as vol_ratio_1_30.
Volume,vol_ratio_10_30,Internal,10-day average volume vs 30-day baseline.,Longer-horizon volume-regime signal.,Same convention as vol_ratio_1_30.
Volume,vol_cv_30,Internal,Coefficient of variation of volume over the trailing 30 days.,"Captures whether recent trading activity has been erratic vs steady, independent of its average level.",Standard dispersion-normalisation technique; no specific external citation.
Volume,log_vol_change_1,Internal,"Log change in trading volume, 1 day.",Short-horizon volume-momentum signal.,Standard log-difference convention; no specific external citation.
Macro/Global,gdp_growth_pct,External (World Bank),Sri Lanka annual GDP growth.,Captures whether the disaster hit during broad economic expansion or contraction -- a confound the event-study design must control for.,"Standard macro control in event-study/disaster-finance literature; no single specific citation, general practice."
Macro/Global,inflation_cpi_pct,External (World Bank),Sri Lanka annual CPI inflation.,Controls for macro/economic-crisis conditions (e.g. the 2022 crisis) independent of the disaster itself.,Standard macro control; no specific external citation.
Macro/Global,sp500_log_return,External (market data),S&P 500 day-of log return.,Global-market-stress proxy -- distinguishes a local disaster reaction from a worldwide selloff happening to coincide with it.,"Cross-border equity spillover argued in disaster-finance literature (e.g. Fiordelisi et al., Zhou -- cited in this session's Y1 improvement plan); this repo has only S&P 500, not a full spillover battery (India Sensex/MSCI Frontier/VIX flagged as a literature-suggested but NOT implemented addition)."
Macro/Global,fx_logret_1,"External (FRED, DEXSLUS)","1-day USD/LKR log return, computed strictly at/before t-1.",Currency-crisis/instability proxy at daily (not annual) resolution -- replaces an annual macro series that was indefensibly matched to day-0 events.,"docs/audit.md Part 3 Block C: 'an annual macro control against a day-0 event is indefensible, and replacing it is a correctness fix, not a performance lever.' Pre-declared expectation: 'expected to do little on its own.'"
Macro/Global,fx_logret_5,"External (FRED, DEXSLUS)",5-day USD/LKR log return.,Slightly longer FX-instability window than the 1-day version.,Same pre-declaration as fx_logret_1.
Macro/Global,fx_vol_30,"External (FRED, DEXSLUS)",30-day USD/LKR return volatility.,Broader currency-instability regime indicator (vs a single day's move).,Same pre-declaration as fx_logret_1.
Hazard (measured),hz_precip_max3d,External (NASA POWER),Max 3-day rainfall accumulation across 7 district points.,Flood-generating window is standard meteorologically; max (not mean) because flooding is localised and an island average dilutes it.,"docs/audit.md Part 3 Block A: measured by instrument, not assessed by a reporter -- no missingness, no reporting bias, available same-day (admissible even in the strictest ex-ante specification, unlike financial_damage)."
Hazard (measured),hz_precip_mean3d,External (NASA POWER),Mean 3-day rainfall accumulation across districts.,"Island-wide intensity, matching the index-level (not sector-level) target.",Same Block A rationale as hz_precip_max3d.
Hazard (measured),hz_precip_spread3d,External (NASA POWER),Std-dev of 3-day rainfall across districts.,Distinguishes one severely-hit district from uniform island-wide rain at equal mean intensity.,Same Block A rationale.
Hazard (measured),hz_districts_wet,External (NASA POWER),Count of districts exceeding 50mm/3-day rainfall.,"50mm/3-day is the Sri Lanka Dept. of Meteorology's own published heavy-rain advisory threshold -- an operational standard, not a value swept for fit.",Sri Lanka Department of Meteorology operational threshold (cited in docs/audit.md Part 3 Block A).
Hazard (measured),hz_wind_max3d,External (NASA POWER),Max 3-day 10m wind speed across districts.,"Storm-intensity analogue for the Storm-type events, where wind (not rain) is the damaging mechanism.",Same Block A rationale.
Hazard (measured),hz_precip_anom,External (NASA POWER),"3-day rainfall vs the location's own trailing-30-day baseline (ends t-3, no overlap with event window).","Same functional form as the Y2 target (V/V_bar_30 - 1) applied to rainfall -- rain relative to that location's own recent normal, not an absolute threshold.",Deliberate structural parallel to this thesis's own Y2 definition (docs/audit.md Part 3 Block A).
Physical Severity,di_districts_hit,External (DesInventar/UNDRR),"Distinct districts with >=1 disaster record in a [-7,+14]-day window around the event.",Geographic breadth of the shock -- an exposure dimension the missing-73%-of-the-time financial_damage figure cannot supply.,"docs/audit.md Part 3 Block B: added because financial_damage is missing (zero-filled) for 47 of 64 events, non-randomly (EM-DAT under-reports smaller/older events)."
Physical Severity,di_affected_log,External (DesInventar/UNDRR),log1p(total people affected) in the matched window.,Headcount severity proxy where monetary damage is unavailable.,Same Block B rationale.
Physical Severity,di_houses_destroyed_log,External (DesInventar/UNDRR),log1p(total houses destroyed).,Closest available physical proxy to the missing monetary damage figure (capital destruction).,Same Block B rationale.
